sourcedb|sourcedb_version|method|labnr|c14age|c14std|c13val|site|sitetype|feature|period|culture|material|species|country|lat|lon|shortref|comment
Kabacinski/Terberger 2010|2010|C14|KIA-26389|5818|30||Dąbki 9||T-antler axe|Mesolithikum|final Mesolithic|Geweih||Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-26808|5386|28||Dąbki 9|||Mesolithikum|final Mesolithic|Knochen|Rind?|Poland|||Kabacinski et al. 2009|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|OxA-2917|5290|90||Plau|||Mesolithikum|final Mesolithic|Knochen|Mensch|Germany|||Terberger/Piek 1997|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-20435|4964|58|-22,4|Stralsund 225|||Neolithikum|frühe TBK|Speisekruste||Germany|||Lübke 2004c|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-20434|5194|30|-20|Stralsund 225|||Neolithikum|frühe TBK|Speisekruste||Germany|||Lübke 2004c|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|KIA-24236|5040|26|-25,4|Stralsund 225|||Neolithikum|frühe TBK|Holz||Germany|||Lübke 2004c|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|Bln-4667|5550|51||Carpin 10|||Neolithikum|frühe TBK|Holzkohle||Germany|||Brauer 1995, Terberger/Piel 1997|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|GrN-5035|5570|60||Sarnowo|||Neolithikum|frühe TBK|Holzkohle||Poland|||Midgley 1992, 495|bisher nach Kabacinski/Terbger zitiert
Kabacinski/Terberger 2010|2010|C14|kA|5570|110||Łącko 6|Siedlung|post hole|Neolithikum|frühe TBK|Holzkohle||Poland|||"Domańska / Rzepecki
2004"|Sarnowo phase
Kabacinski/Terberger 2010|2010|C14|ohne Angabe|5010|70||Łącko 6|Gräberfeld|Layer construction barrow 2|Neolithikum|frühe TBK|Teer (Speisekruste?)||Poland|||"Domańska / Rzepecki
2004"|beginning Wiórek phase
Kaufmann 2007|2007|C14|Erl-8394|5766|54|-20,6|Oberwiederstedt|Gräberfeld|Grab 90|Neolithikum|spätes Rössen|Knochen|Mensch|Germany|||Kaufmann 2007, 370|Lkr. Mansfeld-Südharz, Landesmus. Vorgeschichte Halle (Saale) Hauptkatalognummer (HK) 97:20461 a
Kaufmann 2007|2007|C14|Erl-8395|5669|54|-20,7|Oberwiederstedt|Gräberfeld|Grab 95|Neolithikum|spätes Rössen|Knochen|Mensch|Germany|||Kaufmann 2007, 370|Lkr. Mansfeld-Südharz, Landesmus. Vorgesch. Halle HK 97:20462a
Kaufmann 2007|2007|C14|Erl-8396|5661|54|-20,3|Oberwiederstedt|Gräberfeld|Grab 1|Neolithikum|Gatersleben|Knochen|Mensch|Germany|||Kaufmann 2007, 370|Lkr. Mansfeld-Südharz, Landesmus. Vorgesch. Halle o. HK (unpubl.)
Kaufmann 2007|2007|C14|Erl-8401|5634|57|-20,3|Eulau|Gräberfeld|Befund-Nr 7_1280|Neolithikum|Gatersleben|Knochen|Mensch|Germany|||Kaufmann 2007, 370|Lkr. Burgenland, Landesmus. Vorgesch. Halle o. HK (unpubl.)
Kaufmann 2007|2007|C14|Erl-8397|5699|56|-20,9|Eulau|Siedlung|Befund-Nr 5_1367|Neolithikum|Gatersleben|Knochen|Rind?|Germany|||Kaufmann 2007, 370|Lkr. Burgenland, Landesmus. Vorgesch. Halle o. HK (unpubl.)
Kaufmann 2007|2007|C14|Erl-8398|5603|55|-21,2|Eulau|Siedlung|Befund-Nr 5_1374|Neolithikum|Gatersleben|Knochen|Rind|Germany|||Kaufmann 2007, 370|Lkr. Burgenland, Metatarsus; Hausrind,  Landesmus. Vorgesch. Halle o. HK (unpubl.)
Kaufmann 2007|2007|C14|Erl-8399|5545|53|-20,4|Eulau|Siedlung|Befund-Nr 5_1513|Neolithikum|Gatersleben|Knochen|Rind??|Germany|||Kaufmann 2007, 370|Lkr. Burgenland, Landesmus. Vorgesch. Halle o. HK (unpubl.)
